,box,angry,disgust,fear,happy,sad,surprise,neutral,timeline
201,"[409, 250, 194, 256]",0.01,0.0,0.04,0.49,0.34,0.0,0.11,6.7002193844138835
202,"[397, 245, 206, 270]",0.02,0.0,0.04,0.48,0.28,0.01,0.18,6.733553809211962
203,"[396, 248, 206, 267]",0.01,0.0,0.05,0.52,0.26,0.01,0.15,6.766888234010041
204,"[393, 247, 208, 270]",0.02,0.0,0.04,0.28,0.45,0.01,0.2,6.800222658808121
205,"[392, 247, 207, 271]",0.02,0.0,0.04,0.27,0.47,0.0,0.19,6.833557083606199
206,"[380, 246, 218, 302]",0.02,0.0,0.07,0.13,0.62,0.0,0.15,6.8668915084042785
207,"[382, 247, 217, 298]",0.02,0.0,0.07,0.26,0.47,0.0,0.17,6.900225933202357
208,"[378, 248, 217, 301]",0.02,0.0,0.07,0.22,0.46,0.0,0.23,6.933560358000436
209,"[390, 247, 205, 264]",0.01,0.0,0.04,0.66,0.18,0.01,0.11,6.966894782798516
210,"[392, 246, 204, 263]",0.02,0.0,0.05,0.53,0.25,0.01,0.14,7.000229207596594
211,"[376, 230, 222, 311]",0.03,0.0,0.11,0.23,0.44,0.01,0.17,7.0335636323946735
212,"[384, 234, 212, 289]",0.02,0.0,0.06,0.15,0.54,0.01,0.21,7.066898057192752
213,"[381, 229, 211, 285]",0.03,0.0,0.03,0.4,0.33,0.0,0.21,7.100232481990831
214,"[383, 216, 209, 280]",0.02,0.0,0.03,0.31,0.55,0.0,0.09,7.133566906788911
215,"[366, 207, 223, 301]",0.01,0.0,0.02,0.5,0.26,0.0,0.21,7.166901331586989
216,"[386, 198, 193, 250]",0.0,0.0,0.01,0.94,0.01,0.0,0.05,7.2002357563850685
217,"[365, 169, 202, 271]",0.01,0.0,0.01,0.9,0.03,0.0,0.05,7.233570181183148
218,"[307, 95, 226, 306]",0.04,0.0,0.06,0.63,0.15,0.0,0.11,7.266904605981226
219,"[310, 59, 210, 286]",0.01,0.0,0.08,0.72,0.13,0.0,0.04,7.300239030779306
220,"[277, 30, 222, 290]",0.0,0.0,0.01,0.94,0.01,0.0,0.04,7.333573455577385
221,"[259, 14, 233, 314]",0.01,0.0,0.01,0.88,0.02,0.0,0.08,7.3669078803754635
222,"[261, 7, 226, 301]",0.0,0.0,0.01,0.81,0.03,0.0,0.14,7.400242305173543
223,"[270, 11, 220, 290]",0.0,0.0,0.01,0.89,0.02,0.0,0.08,7.433576729971621
224,"[271, 1, 223, 296]",0.0,0.0,0.01,0.88,0.02,0.0,0.09,7.466911154769701
225,"[272, -12, 230, 305]",0.01,0.0,0.01,0.62,0.1,0.0,0.26,7.50024557956778
226,"[256, -54, 258, 351]",0.04,0.0,0.11,0.25,0.32,0.0,0.28,7.5335800043658585
227,"[285, -45, 229, 310]",0.01,0.01,0.03,0.63,0.25,0.0,0.07,7.566914429163938
228,"[288, -78, 235, 309]",0.01,0.0,0.01,0.73,0.11,0.0,0.15,7.600248853962016
229,"[376, -120, 291, 383]",0.02,0.0,0.02,0.13,0.47,0.0,0.35,7.633583278760096
230,"[423, -53, 231, 304]",0.01,0.02,0.03,0.57,0.16,0.0,0.21,7.666917703558175
231,"[396, -45, 250, 324]",0.0,0.0,0.02,0.48,0.19,0.0,0.31,7.7002521283562535
232,"[403, -14, 241, 318]",0.01,0.0,0.01,0.49,0.07,0.0,0.42,7.733586553154333
233,"[407, -8, 238, 315]",0.01,0.0,0.01,0.69,0.03,0.0,0.26,7.766920977952412
234,"[410, -1, 236, 313]",0.0,0.0,0.01,0.74,0.02,0.0,0.23,7.800255402750491
235,"[407, -3, 241, 323]",0.0,0.0,0.01,0.53,0.03,0.0,0.43,7.83358982754857
236,"[415, 4, 234, 321]",0.0,0.0,0.01,0.69,0.02,0.0,0.28,7.866924252346649
237,"[403, 17, 245, 322]",0.01,0.0,0.01,0.5,0.06,0.0,0.41,7.900258677144728
238,"[405, 29, 245, 317]",0.01,0.0,0.01,0.37,0.07,0.0,0.54,7.933593101942807
239,"[407, 36, 244, 316]",0.01,0.0,0.01,0.25,0.07,0.0,0.66,7.966927526740886
240,"[409, 39, 242, 318]",0.01,0.0,0.02,0.36,0.07,0.0,0.55,8.000261951538965
241,"[425, 43, 233, 313]",0.01,0.0,0.01,0.49,0.05,0.0,0.43,8.033596376337044
242,"[427, 50, 231, 313]",0.01,0.0,0.02,0.58,0.04,0.0,0.35,8.066930801135124
243,"[421, 56, 234, 308]",0.0,0.0,0.01,0.56,0.02,0.0,0.41,8.100265225933201
244,"[429, 67, 226, 300]",0.0,0.0,0.0,0.73,0.01,0.0,0.25,8.13359965073128
245,"[411, 67, 244, 318]",0.01,0.0,0.02,0.35,0.08,0.0,0.54,8.16693407552936
246,"[415, 71, 239, 313]",0.01,0.0,0.01,0.53,0.03,0.0,0.41,8.20026850032744
247,"[414, 70, 246, 323]",0.01,0.0,0.02,0.53,0.04,0.0,0.4,8.233602925125519
248,"[425, 82, 234, 305]",0.01,0.0,0.02,0.55,0.02,0.0,0.4,8.266937349923598
249,"[425, 83, 236, 310]",0.01,0.0,0.02,0.43,0.03,0.0,0.52,8.300271774721676
250,"[424, 83, 238, 314]",0.01,0.0,0.02,0.51,0.03,0.0,0.43,8.333606199519755
251,"[425, 88, 236, 311]",0.01,0.0,0.02,0.38,0.02,0.0,0.56,8.366940624317834
252,"[442, 93, 224, 301]",0.0,0.0,0.01,0.45,0.01,0.0,0.52,8.400275049115914
253,"[421, 90, 243, 319]",0.01,0.0,0.02,0.44,0.02,0.0,0.5,8.433609473913993
254,"[429, 93, 237, 315]",0.0,0.0,0.03,0.39,0.02,0.0,0.56,8.46694389871207
255,"[439, 106, 226, 296]",0.01,0.0,0.03,0.32,0.02,0.0,0.63,8.50027832351015
256,"[439, 110, 226, 298]",0.01,0.0,0.01,0.42,0.03,0.0,0.52,8.53361274830823
257,"[437, 121, 222, 288]",0.0,0.0,0.01,0.68,0.02,0.0,0.29,8.566947173106309
258,"[433, 103, 222, 303]",0.01,0.0,0.02,0.23,0.05,0.0,0.69,8.600281597904388
259,"[424, 109, 230, 305]",0.01,0.0,0.02,0.3,0.06,0.0,0.6,8.633616022702466
260,"[435, 106, 222, 300]",0.0,0.0,0.02,0.36,0.04,0.0,0.58,8.666950447500545
261,"[435, 104, 221, 298]",0.0,0.0,0.01,0.47,0.04,0.0,0.47,8.700284872298624
262,"[435, 103, 223, 300]",0.0,0.0,0.01,0.27,0.03,0.0,0.68,8.733619297096704
